id,colourcode,base_universalmk2,cover_universalmk2,base_universalheavymk2,cover_universalheavymk2,base_basicsmk2,cover_basicsmk2,base_basicsheavymk2,cover_basicsheavymk2,base_outdoor,base_expressions,cover_expressions,base_sport,base_surface_mount,base_heavyduty,base_rollabase,base_stowaway_feet,base_mk2basicspop,cover_mk2basicspop,base_magnetic,base_mk2universal887,cover_mk2universal887,base_mk2universal888,cover_mk2universal888,cover_magnetic,base_magneticlocated,cover_magneticlocated,base_traditional,cover_traditional,base_universal,cover_universal,std_basecoverfinishupcharge,base_marineuniversalmk2,cover_marineuniversalmk2,base_marinebasicsmk2,cover_marinebasicsmk2
Aer Lingus TLP-C609-S (AERL),AERL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Weather (AW),AW,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Aluminium (ALUM),ALUM,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Stainless Painted Grey Ral7021 (3B-7021),3B-7021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stainless Steel Black Powder Coat (33SB),33SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stainless Steel Ral7011 (3B7011),3B7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stainless steel (3B),3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statuary Bronze (8),8,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Statuary Bronze (8X),8X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Gold (82),82,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Super Durable Marine (MARINE),MARINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
Target Red Ral3020 (TARGET21),TARGET21,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Drylac # 38/90010 Silver Marine (MARINE-38),MARINE-38,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Tiger Drylac # 038/99999 Bengal Silver Marine (MARINE-99),MARINE-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Tiger Drylac Metallic # 038/90016 Argento 312 (MARINE312),MARINE-312,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tiger Drylac 49/66220 Bronze (WAG8),WAG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Traffic Black Matt Ral9017 (9017),9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic White Ral9016 (9016),9016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Blue Ral5018 (5018),5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbra Grey Ral7022 (7022),7022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White  Ral9010 (32),32,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Ral9001 (9001),9001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Ral9003 (9003),9003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Window Grey Ral7040 (7040),7040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35),35,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32),32,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x
