id,cassette_assy,prewind_option,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,r36,padprint_smartcode_suffix,smart_cass_id,topcap_included,NightView_max_length_m,Standard_max_length,fg_desc_type,suspend_selection,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,base_listprice
poteau Ruban large 150mm Dualline,54211-000,,WDE,3,02918-33S,03893,Wide webbing 150mm,2,,03466,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,CASD-PLUS,Plus Dualline Cassette,std,,,,,,31,FALSE,,,,,,,,,,
poteau Ruban large 150mm dummy Tensator printed,54160-AAC,,RCV,,02918-33S,,End Post,,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-PLUS-RCV,Plus Dummy Cassette,std,,,,,007,32,FALSE,,,,,,,,,,
poteau receveur Ruban large 150mm Dualline end post,52208-000,,RCV,,02918-33S,,End Post,,,03466,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,CASD-PLUS-RCV,Plus Dualline Dummy Cassette,std,,,,,,33,FALSE,,,,,,,,,,
Qmatic Standard Cassette,55161-AAA,,STD,1,,04837,,3,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,CAS,Qmatic Standard Cassette,std,,,,,,34,TRUE,,,,,,,,,,
Qmatic Max Cassette,55162-AAA,,MAX,4,,08136,,3,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,CAS,Qmatic Max Cassette,std,,,,,,35,TRUE,3.45,,,,,,,,,
Qmatic Dummy Cassette,55163-AAA,,RCV,,,,,3,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,CAS-RCV,Qmatic Dummy Cassette,std,,,,,,36,TRUE,,,,,,,,,,
Cassette Zinc Standard 4way,54017-000,,STD,1,,04837,,4,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,CAS-ZINC,HeavyDuty Standard Cassette,std,,,,,,23,TRUE,,,,,,,,,,
Cassette Zinc Max 4way,54532-000,,MAX,4,,08136,,4,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,CAS-ZINC,HeavyDuty Max Cassette,std,,,,,,24,TRUE,3.45,,,,,,,,,
Tensacone Orange Max Cassette 4 Way,53657-015,,MAX,5,,08136,,5,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,CAS-TOPPER,Tensacone Max Cassette (Orange),std,,,,,,37,TRUE,3.45,,,,,,,,,
Tensacone Orange Dummy,54157-015,,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,CAS-TOPPER,Tensacone Dummy Cassette (Orange),std,,,,,,38,TRUE,,,,,,,,,,
